Mon,date,year,r1
7,24,2016,06
7,23,2016,52
7,22,2016,72
7,21,2016,33
7,20,2016,05
7,19,2016,44
7,18,2016,82
7,17,2016,77
7,16,2016,78
7,15,2016,94
7,14,2016,90
7,13,2016,64
7,12,2016,88
7,11,2016,06
7,10,2016,48
7,09,2016,87
7,08,2016,09
7,07,2016,78
7,06,2016,25
7,05,2016,70
7,04,2016,77
7,03,2016,24
7,02,2016,26
7,01,2016,07
6,30,2016,06
6,29,2016,18
6,28,2016,87
6,27,2016,98
6,26,2016,76
6,25,2016,71
6,24,2016,17
6,23,2016,76
6,22,2016,85
6,21,2016,54
6,20,2016,42
6,19,2016,56
6,18,2016,62
6,17,2016,66
6,16,2016,48
6,15,2016,20
6,14,2016,59
6,13,2016,35
6,12,2016,39
6,11,2016,95
6,10,2016,74
6,09,2016,71
6,08,2016,73
6,07,2016,67
6,06,2016,15
6,05,2016,30
6,04,2016,65
6,03,2016,88
6,02,2016,55
6,01,2016,59
5,31,2016,91
5,30,2016,18
5,29,2016,59
5,28,2016,17
5,27,2016,22
5,26,2016,03
5,25,2016,64
5,24,2016,04
5,23,2016,66
5,22,2016,34
5,21,2016,17
5,20,2016,42
5,19,2016,03
5,18,2016,00
5,17,2016,92
5,16,2016,36
5,15,2016,71
5,14,2016,17
5,13,2016,94
5,12,2016,96
5,11,2016,72
5,10,2016,49
5,09,2016,20
5,08,2016,39
5,07,2016,81
5,06,2016,36
5,05,2016,68
5,04,2016,01
5,03,2016,54
5,02,2016,32
