Mon,date,year,r1,r2
11,15,2015,4,9
11,14,2015,8,4
11,13,2015,8,3
11,12,2015,4,1
11,11,2015,0,3
11,10,2015,9,7
11,09,2015,4,2
11,08,2015,1,4
11,07,2015,4,7
11,06,2015,9,5
11,05,2015,2,8
11,04,2015,8,1
11,03,2015,6,7
11,02,2015,4,3
11,01,2015,4,6
10,31,2015,9,6
10,30,2015,8,5
10,29,2015,2,6
10,28,2015,1,6
10,27,2015,9,9
10,26,2015,0,3
10,25,2015,8,2
10,24,2015,5,5
10,23,2015,3,5
10,22,2015,9,9
10,21,2015,2,8
10,20,2015,9,2
10,19,2015,7,7
10,18,2015,4,0
10,17,2015,5,9
10,16,2015,2,1
10,15,2015,2,9
10,14,2015,8,1
10,13,2015,1,7
10,12,2015,4,8
10,11,2015,4,0
10,10,2015,7,9
10,09,2015,9,1
10,08,2015,2,2
10,07,2015,0,7
10,06,2015,0,4
10,05,2015,0,6
10,04,2015,9,1
10,03,2015,3,9
10,02,2015,8,2
10,01,2015,1,3
9,30,2015,0,7
9,29,2015,2,7
9,28,2015,3,1
9,27,2015,7,8
9,26,2015,1,0
9,25,2015,0,3
9,24,2015,0,1
9,23,2015,6,9
9,22,2015,4,4
9,21,2015,9,6
9,20,2015,8,9
9,19,2015,9,1
9,18,2015,6,9
9,17,2015,7,8
9,16,2015,1,9
9,15,2015,9,3
9,14,2015,5,0
9,13,2015,5,4
9,12,2015,0,1
9,11,2015,7,9
9,10,2015,6,9
9,09,2015,1,6
9,08,2015,4,4
9,07,2015,3,1
9,06,2015,0,3
9,05,2015,7,6
9,04,2015,9,8
9,03,2015,7,9
9,02,2015,4,1
9,01,2015,1,0
8,31,2015,5,4
8,30,2015,9,3
8,29,2015,1,6
8,28,2015,5,3
8,27,2015,2,5
8,26,2015,5,8
8,25,2015,5,9
8,24,2015,2,3
8,23,2015,7,5
8,22,2015,2,3
8,21,2015,9,0
8,20,2015,7,0
8,19,2015,1,8
8,18,2015,9,0
8,17,2015,4,5
8,16,2015,3,7
8,15,2015,9,7
8,14,2015,2,2
8,13,2015,1,5
8,12,2015,2,8
8,11,2015,0,2
8,10,2015,9,3
8,09,2015,0,6
8,08,2015,7,6
8,07,2015,2,7
8,06,2015,0,2
8,05,2015,8,8
8,04,2015,3,0
8,03,2015,2,2
8,02,2015,4,5
8,01,2015,3,4
7,31,2015,7,4
7,30,2015,5,5
7,29,2015,1,5
7,28,2015,4,2
7,27,2015,3,8
7,26,2015,8,6
7,25,2015,1,4
7,24,2015,1,0
7,23,2015,8,5
7,22,2015,9,4
7,21,2015,0,8
7,20,2015,8,1
7,19,2015,1,4
7,18,2015,3,7
7,17,2015,5,6
7,16,2015,9,6
7,15,2015,4,8
7,14,2015,5,8
7,13,2015,1,2
7,12,2015,5,4
7,11,2015,6,3
7,10,2015,7,2
7,09,2015,5,4
7,08,2015,0,3
7,07,2015,8,9
7,06,2015,8,1
7,05,2015,4,2
7,04,2015,8,8
7,03,2015,0,4
7,02,2015,5,1
7,01,2015,1,2
6,30,2015,3,8
6,29,2015,4,1
6,28,2015,5,4
6,27,2015,5,9
6,26,2015,7,0
6,25,2015,4,7
6,24,2015,2,8
6,23,2015,1,7
6,22,2015,5,8
6,21,2015,5,3
6,20,2015,4,5
6,19,2015,3,0
6,18,2015,1,8
6,17,2015,7,6
6,16,2015,7,7
6,15,2015,6,3
6,14,2015,1,8
6,13,2015,8,4
6,12,2015,1,2
6,11,2015,8,6
